# Target Name,RA,RA Uncertainty,DEC,DEC Uncertainty,Reference Frame,Epoch,RA PM,RA PM units,DEC PM,DEC PM units,Annual Parallax,V-Magnitude,Mag Uncertainty,Other Fluxes,Category,Description,Radial Velocity
TOI-214,06 37 50.5715,1.3299999409355223e-05,-70 55 57.406,1.3299999409355223e-05,ICRS,2000.0,-149.725,MAS/YR,298.697,MAS/YR,0.0256779,8.7,0.019999999552965164,G=8.509678840637207,STAR,"[G V-IV, Extra-solar Planetary System]",16.285
TOI-2540,05 30 14.0042,1.0400000064691994e-05,-42 41 50.379,1.0400000064691994e-05,ICRS,2000.0,33.702,MAS/YR,-143.601,MAS/YR,0.0521963,9.7,,G=9.101789474487305,STAR,"[M V-IV, Extra-solar Planetary System]",-3.457
TOI-283,07 54 16.7102,1.2000000424450263e-05,-65 26 29.583,1.2000000424450263e-05,ICRS,2000.0,-30.838,MAS/YR,16.017,MAS/YR,0.012119,10.4,0.03999999910593033,G=10.199692726135254,STAR,"[K V-IV, Extra-solar Planetary System]",-13.951
TOI-286,06 03 56.0652,1.52000002344721e-05,-60 39 58.752,1.52000002344721e-05,ICRS,2000.0,76.330,MAS/YR,-3.399,MAS/YR,0.016870899999999998,9.9,0.029999999329447746,G=9.656729698181152,STAR,"[K V-IV, Extra-solar Planetary System]",16.265
TOI-3353,07 06 07.1805,1.0200000360782724e-05,-75 49 11.012,1.0200000360782724e-05,ICRS,2000.0,-5.941,MAS/YR,38.620,MAS/YR,0.0126836,9.3,0.019999999552965164,G=9.25214958190918,STAR,"[K V-IV, Extra-solar Planetary System]",
TOI-4189,05 25 23.7977,1.1099999937869143e-05,-44 25 50.916,1.1099999937869143e-05,ICRS,2000.0,-43.937,MAS/YR,-110.240,MAS/YR,0.0144269,9.8,0.006000000052154064,G=9.203581809997559,STAR,"[G V-IV, Extra-solar Planetary System]",13.3
TOI-4337,10 57 09.6389,1.160000010713702e-05,-69 58 45.767,1.160000010713702e-05,ICRS,2000.0,-29.822,MAS/YR,0.137,MAS/YR,0.015394099999999999,12.7,,G=12.02767562866211,STAR,"[K V-IV, Extra-solar Planetary System]",-715.8
TOI-4443,18 17 04.5357,7.300000106624793e-06,+21 54 33.959,7.300000106624793e-06,ICRS,2000.0,-50.561,MAS/YR,26.146,MAS/YR,0.017803999999999997,8.5,0.009999999776482582,G=8.346535682678223,STAR,"[G V-IV, Extra-solar Planetary System]",-28.31
TOI-4451,18 19 02.4977,8.69999985297909e-06,+34 02 42.354,8.69999985297909e-06,ICRS,2000.0,7.106,MAS/YR,140.675,MAS/YR,0.0112791,9.0,0.019999999552965164,G=8.962794303894043,STAR,"[G V-IV, Extra-solar Planetary System]",-41.3
TOI-4568,15 54 48.5009,5.2600000344682485e-05,-65 54 04.365,5.2600000344682485e-05,ICRS,2000.0,16.267,MAS/YR,21.161,MAS/YR,0.0207064,7.6,0.009999999776482582,G=7.390669822692871,STAR,"[G V-IV, Extra-solar Planetary System]",2.4
TOI-458,02 36 32.5879,8.89999955688836e-06,-22 14 42.407,8.89999955688836e-06,ICRS,2000.0,111.935,MAS/YR,27.281,MAS/YR,0.0130355,10.4,0.05000000074505806,G=10.204513549804688,STAR,"[K V-IV, Extra-solar Planetary System]",9.474
