wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1202.2000,0,2.805,3.6502e-09,121.56,124.37
1202.2500,0,2.805,3.6513e-09,121.67,124.47
1202.3000,0,2.805,3.6523e-09,121.77,124.58
1202.3500,0,2.805,3.6534e-09,121.88,124.68
1202.4000,0,2.805,3.6544e-09,121.98,124.79
1202.4500,0,2.805,3.6555e-09,122.09,124.9
1202.5000,0,2.805,3.6565e-09,122.2,125
1202.5500,0,2.805,3.6575e-09,122.3,125.11
1202.6000,0,2.805,3.6586e-09,122.41,125.21
1202.6500,0,2.805,3.6596e-09,122.52,125.32
1202.7000,0,2.805,3.6606e-09,122.62,125.43
1202.7500,0,2.805,3.6616e-09,122.73,125.53
1202.8000,0,2.805,3.6627e-09,122.83,125.64
1202.8500,0,2.805,3.6637e-09,122.94,125.74
1202.9000,0,2.805,3.6647e-09,123.05,125.85
1202.9500,0,2.805,3.6657e-09,123.15,125.96
1203.0000,0,2.805,3.6667e-09,123.26,126.06
1203.0500,0,2.805,3.6677e-09,123.36,126.17
1203.1000,0,2.805,3.6687e-09,123.47,126.28
1203.1500,0,2.805,3.6697e-09,123.58,126.38
1203.2000,0,2.805,3.6707e-09,123.68,126.49
1203.2500,0,2.805,3.6717e-09,123.79,126.6
1203.3000,0,2.805,3.6727e-09,123.9,126.7
1203.3500,0,2.805,3.6737e-09,124,126.81
1203.4000,0,2.805,3.6747e-09,124.11,126.91
1203.4500,0,2.805,3.6756e-09,124.22,127.02
1203.5000,0,2.805,3.6766e-09,124.32,127.13
1203.5500,0,2.805,3.6776e-09,124.43,127.23
1203.6000,0,2.805,3.6786e-09,124.53,127.34
1203.6500,0,2.805,3.6795e-09,124.64,127.45
1203.7000,0,2.805,3.6805e-09,124.75,127.55
1203.7500,0,2.805,3.6815e-09,124.85,127.66
1203.8000,0,2.805,3.6824e-09,124.96,127.77
1203.8500,0,2.805,3.6834e-09,125.07,127.87
1203.9000,0,2.805,3.6844e-09,125.17,127.98
1203.9500,0,2.805,3.6853e-09,125.28,128.09
1204.0000,0,2.805,3.6863e-09,125.39,128.19
1204.0500,0,2.805,3.6872e-09,125.49,128.3
1204.1000,0,2.805,3.6882e-09,125.6,128.41
1204.1500,0,2.805,3.6891e-09,125.71,128.51
1204.2000,0,2.805,3.69e-09,125.81,128.62
1204.2500,0,2.805,3.691e-09,125.92,128.73
1204.3000,0,2.805,3.6919e-09,126.03,128.83
1204.3500,0,2.805,3.6928e-09,126.13,128.94
1204.4000,0,2.805,3.6938e-09,126.24,129.05
1204.4500,0,2.805,3.6947e-09,126.35,129.15
1204.5000,0,2.805,3.6956e-09,126.45,129.26
1204.5500,0,2.805,3.6965e-09,126.56,129.37
1204.6000,0,2.805,3.6974e-09,126.67,129.47
1204.6500,0,2.805,3.6984e-09,126.77,129.58
1204.7000,0,2.805,3.6993e-09,126.88,129.69
1204.7500,0,2.805,3.7002e-09,126.99,129.79
1204.8000,0,2.805,3.7011e-09,127.09,129.9
1204.8500,0,2.805,3.702e-09,127.2,130.01
1204.9000,0,2.805,3.7029e-09,127.31,130.11
1204.9500,0,2.805,3.7038e-09,127.41,130.22
1205.0000,0,2.805,3.7047e-09,127.52,130.33
1205.0500,0,2.805,3.7055e-09,127.63,130.43
1205.1000,0,2.805,3.7064e-09,127.74,130.54
1205.1500,0,2.805,3.7073e-09,127.84,130.65
1205.2000,0,2.805,3.7082e-09,127.95,130.75
1205.2500,0,2.805,3.7091e-09,128.06,130.86
1205.3000,0,2.805,3.7099e-09,128.16,130.97
1205.3500,0,2.805,3.7108e-09,128.27,131.07
1205.4000,0,2.805,3.7117e-09,128.38,131.18
1205.4500,0,2.805,3.7126e-09,128.48,131.29
1205.5000,0,2.805,3.7134e-09,128.59,131.4
1205.5500,0,2.805,3.7143e-09,128.7,131.5
1205.6000,0,2.805,3.7151e-09,128.8,131.61
1205.6500,0,2.805,3.716e-09,128.91,131.72
1205.7000,0,2.805,3.7168e-09,129.02,131.82
1205.7500,0,2.805,3.7177e-09,129.13,131.93
1205.8000,0,2.805,3.7185e-09,129.23,132.04
1205.8500,0,2.805,3.7194e-09,129.34,132.14
1205.9000,0,2.805,3.7202e-09,129.45,132.25
1205.9500,0,2.805,3.721e-09,129.55,132.36
1206.0000,0,2.805,3.7219e-09,129.66,132.47
1206.0500,0,2.805,3.7227e-09,129.77,132.57
1206.1000,0,2.805,3.7235e-09,129.88,132.68
1206.1500,0,2.805,3.7243e-09,129.98,132.79
1206.2000,0,2.805,3.7252e-09,130.09,132.89
1206.2500,0,2.805,3.726e-09,130.2,133
1206.3000,0,2.805,3.7268e-09,130.3,133.11
1206.3500,0,2.805,3.7276e-09,130.41,133.22
1206.4000,0,2.805,3.7284e-09,130.52,133.32
1206.4500,0,2.805,3.7292e-09,130.63,133.43
1206.5000,0,2.805,3.73e-09,130.73,133.54
1206.5500,0,2.805,3.7308e-09,130.84,133.64
1206.6000,0,2.805,3.7316e-09,130.95,133.75
1206.6500,0,2.805,3.7324e-09,131.05,133.86
1206.7000,0,2.805,3.7332e-09,131.16,133.97
1206.7500,0,2.805,3.734e-09,131.27,134.07
1206.8000,0,2.805,3.7348e-09,131.38,134.18
1206.8500,0,2.805,3.7355e-09,131.48,134.29
1206.9000,0,2.805,3.7363e-09,131.59,134.4
1206.9500,0,2.805,3.7371e-09,131.7,134.5
1207.0000,0,2.805,3.7379e-09,131.8,134.61
1207.0500,0,2.805,3.7386e-09,131.91,134.72
1207.1000,0,2.805,3.7394e-09,132.02,134.82
1207.1500,0,2.805,3.7402e-09,132.13,134.93
1207.2000,0,2.805,3.7409e-09,132.23,135.04
1207.2500,0,2.805,3.7417e-09,132.34,135.15
1207.3000,0,2.805,3.7424e-09,132.45,135.25
1207.3500,0,2.805,3.7432e-09,132.56,135.36
1207.4000,0,2.805,3.7439e-09,132.66,135.47
1207.4500,0,2.805,3.7447e-09,132.77,135.58
1207.5000,0,2.805,3.7454e-09,132.88,135.68
1207.5500,0,2.805,3.7461e-09,132.98,135.79
1207.6000,0,2.805,3.7469e-09,133.09,135.9
1207.6500,0,2.805,3.7476e-09,133.2,136
1207.7000,0,2.805,3.7483e-09,133.31,136.11
1207.7500,0,2.805,3.749e-09,133.41,136.22
1207.8000,0,2.805,3.7498e-09,133.52,136.33
1207.8500,0,2.805,3.7505e-09,133.63,136.43
1207.9000,0,2.805,3.7512e-09,133.74,136.54
1207.9500,0,2.805,3.7519e-09,133.84,136.65
1208.0000,0,2.805,3.7526e-09,133.95,136.76
1208.0500,0,2.805,3.7533e-09,134.06,136.86
1208.1000,0,2.805,3.754e-09,134.17,136.97
1208.1500,0,2.805,3.7547e-09,134.27,137.08
1208.2000,0,2.805,3.7554e-09,134.38,137.19
1208.2500,0,2.805,3.7561e-09,134.49,137.29
1208.3000,0,2.805,3.7568e-09,134.6,137.4
1208.3500,0,2.805,3.7575e-09,134.7,137.51
1208.4000,0,2.805,3.7582e-09,134.81,137.62
1208.4500,0,2.805,3.7588e-09,134.92,137.72
1208.5000,0,2.805,3.7595e-09,135.03,137.83
1208.5500,0,2.805,3.7602e-09,135.13,137.94
1208.6000,0,2.805,3.7609e-09,135.24,138.05
1208.6500,0,2.805,3.7615e-09,135.35,138.15
1208.7000,0,2.805,3.7622e-09,135.45,138.26
1208.7500,0,2.805,3.7628e-09,135.56,138.37
1208.8000,0,2.805,3.7635e-09,135.67,138.47
1208.8500,0,2.805,3.7642e-09,135.78,138.58
1208.9000,0,2.805,3.7648e-09,135.88,138.69
1208.9500,0,2.805,3.7655e-09,135.99,138.8
1209.0000,0,2.805,3.7661e-09,136.1,138.9
1209.0500,0,2.805,3.7667e-09,136.21,139.01
1209.1000,0,2.805,3.7674e-09,136.31,139.12
1209.1500,0,2.805,3.768e-09,136.42,139.23
1209.2000,0,2.805,3.7686e-09,136.53,139.33
1209.2500,0,2.805,3.7693e-09,136.64,139.44
1209.3000,0,2.805,3.7699e-09,136.74,139.55
1209.3500,0,2.805,3.7705e-09,136.85,139.66
1209.4000,0,2.805,3.7711e-09,136.96,139.76
1209.4500,0,2.805,3.7717e-09,137.07,139.87
1209.5000,0,2.805,3.7724e-09,137.17,139.98
1209.5500,0,2.805,3.773e-09,137.28,140.09
1209.6000,0,2.805,3.7736e-09,137.39,140.19
1209.6500,0,2.805,3.7742e-09,137.5,140.3
1209.7000,0,2.805,3.7748e-09,137.6,140.41
1209.7500,0,2.805,3.7754e-09,137.71,140.52
1209.8000,0,2.805,3.776e-09,137.82,140.62
1209.8500,0,2.805,3.7765e-09,137.93,140.73
1209.9000,0,2.805,3.7771e-09,138.03,140.84
1209.9500,0,2.805,3.7777e-09,138.14,140.95
1210.0000,0,2.805,3.7783e-09,138.25,141.05
1210.0500,0,2.805,3.7789e-09,138.36,141.16
1210.1000,0,2.805,3.7794e-09,138.46,141.27
1210.1500,0,2.805,3.78e-09,138.57,141.38
1210.2000,0,2.805,3.7806e-09,138.68,141.48
1210.2500,0,2.805,3.7811e-09,138.79,141.59
1210.3000,0,2.805,3.7817e-09,138.89,141.7
1210.3500,0,2.805,3.7823e-09,139,141.81
1210.4000,0,2.805,3.7828e-09,139.11,141.91
1210.4500,0,2.805,3.7834e-09,139.22,142.02
1210.5000,0,2.805,3.7839e-09,139.32,142.13
1210.5500,0,2.805,3.7844e-09,139.43,142.24
1210.6000,0,2.805,3.785e-09,139.54,142.34
1210.6500,0,2.805,3.7855e-09,139.65,142.45
1210.7000,0,2.805,3.7861e-09,139.75,142.56
1210.7500,0,2.805,3.7866e-09,139.86,142.67
1210.8000,0,2.805,3.7871e-09,139.97,142.77
1210.8500,0,2.805,3.7876e-09,140.08,142.88
1210.9000,0,2.805,3.7882e-09,140.18,142.99
1210.9500,0,2.805,3.7887e-09,140.29,143.1
1211.0000,0,2.805,3.7892e-09,140.4,143.2
1211.0500,0,2.805,3.7897e-09,140.51,143.31
1211.1000,0,2.805,3.7902e-09,140.61,143.42
1211.1500,0,2.805,3.7907e-09,140.72,143.53
1211.2000,0,2.805,3.7912e-09,140.83,143.63
1211.2500,0,2.805,3.7917e-09,140.94,143.74
1211.3000,0,2.805,3.7922e-09,141.04,143.85
1211.3500,0,2.805,3.7927e-09,141.15,143.96
1211.4000,0,2.805,3.7932e-09,141.26,144.06
1211.4500,0,2.805,3.7936e-09,141.37,144.17
1211.5000,0,2.805,3.7941e-09,141.47,144.28
1211.5500,0,2.805,3.7946e-09,141.58,144.39
1211.6000,0,2.805,3.7951e-09,141.69,144.49
1211.6500,0,2.805,3.7955e-09,141.8,144.6
1211.7000,0,2.805,3.796e-09,141.9,144.71
1211.7500,0,2.805,3.7965e-09,142.01,144.82
1211.8000,0,2.805,3.7969e-09,142.12,144.92
1211.8500,0,2.805,3.7974e-09,142.23,145.03
1211.9000,0,2.805,3.7978e-09,142.33,145.14
1211.9500,0,2.805,3.7983e-09,142.44,145.24
1212.0000,0,2.805,3.7987e-09,142.55,145.35
1212.0500,0,2.805,3.7992e-09,142.65,145.46
1212.1000,0,2.805,3.7996e-09,142.76,145.57
1212.1500,0,2.805,3.8001e-09,142.87,145.67
1212.2000,0,2.805,3.8005e-09,142.98,145.78
1212.2500,0,2.805,3.8009e-09,143.08,145.89
1212.3000,0,2.805,3.8013e-09,143.19,146
1212.3500,0,2.805,3.8018e-09,143.3,146.1
1212.4000,0,2.805,3.8022e-09,143.41,146.21
1212.4500,0,2.805,3.8026e-09,143.51,146.32
1212.5000,0,2.805,3.803e-09,143.62,146.43
1212.5500,0,2.805,3.8034e-09,143.73,146.53
1212.6000,0,2.805,3.8038e-09,143.84,146.64
1212.6500,0,2.805,3.8042e-09,143.94,146.75
1212.7000,0,2.805,3.8046e-09,144.05,146.86
1212.7500,0,2.805,3.805e-09,144.16,146.96
1212.8000,0,2.805,3.8054e-09,144.26,147.07
1212.8500,0,2.805,3.8058e-09,144.37,147.18
1212.9000,0,2.805,3.8062e-09,144.48,147.28
1212.9500,0,2.805,3.8066e-09,144.59,147.39
1213.0000,0,2.805,3.8069e-09,144.69,147.5
1213.0500,0,2.805,3.8073e-09,144.8,147.61
1213.1000,0,2.805,3.8077e-09,144.91,147.71
1213.1500,0,2.805,3.8081e-09,145.02,147.82
1213.2000,0,2.805,3.8084e-09,145.12,147.93
1213.2500,0,2.805,3.8088e-09,145.23,148.03
1213.3000,0,2.805,3.8091e-09,145.34,148.14
1213.3500,0,2.805,3.8095e-09,145.44,148.25
1213.4000,0,2.805,3.8098e-09,145.55,148.36
1213.4500,0,2.805,3.8102e-09,145.66,148.46
1213.5000,0,2.805,3.8105e-09,145.77,148.57
1213.5500,0,2.805,3.8109e-09,145.87,148.68
1213.6000,0,2.805,3.8112e-09,145.98,148.79
1213.6500,0,2.805,3.8115e-09,146.09,148.89
1213.7000,0,2.805,3.8119e-09,146.19,149
1213.7500,0,2.805,3.8122e-09,146.3,149.11
1213.8000,0,2.805,3.8125e-09,146.41,149.21
1213.8500,0,2.805,3.8128e-09,146.52,149.32
1213.9000,0,2.805,3.8132e-09,146.62,149.43
1213.9500,0,2.805,3.8135e-09,146.73,149.53
1214.0000,0,2.805,3.8138e-09,146.84,149.64
1214.0500,0,2.805,3.8141e-09,146.94,149.75
1214.1000,0,2.805,3.8144e-09,147.05,149.86
1214.1500,0,2.805,3.8147e-09,147.16,149.96
1214.2000,0,2.805,3.815e-09,147.27,150.07
1214.2500,0,2.805,3.8153e-09,147.37,150.18
1214.3000,0,2.805,3.8156e-09,147.48,150.28
1214.3500,0,2.805,3.8159e-09,147.59,150.39
1214.4000,0,2.805,3.8161e-09,147.69,150.5
1214.4500,0,2.805,3.8164e-09,147.8,150.61
1214.5000,0,2.805,3.8167e-09,147.91,150.71
1214.5500,0,2.805,3.817e-09,148.01,150.82
1214.6000,0,2.805,3.8172e-09,148.12,150.93
1214.6500,0,2.805,3.8175e-09,148.23,151.03
1214.7000,0,2.805,3.8178e-09,148.33,151.14
1214.7500,0,2.805,3.818e-09,148.44,151.25
1214.8000,0,2.805,3.8183e-09,148.55,151.35
1214.8500,0,2.805,3.8185e-09,148.66,151.46
1214.9000,0,2.805,3.8188e-09,148.76,151.57
1214.9500,0,2.805,3.819e-09,148.87,151.67
1215.0000,0,2.805,3.8192e-09,148.98,151.78
1215.0500,0,2.805,3.8195e-09,149.08,151.89
1215.1000,0,2.805,3.8197e-09,149.19,151.99
1215.1500,0,2.805,3.8199e-09,149.3,152.1
1215.2000,0,2.805,3.8202e-09,149.4,152.21
1215.2500,0,2.805,3.8204e-09,149.51,152.32
1215.3000,0,2.805,3.8206e-09,149.62,152.42
1215.3500,0,2.805,3.8269e-09,149.72,152.53
1215.4000,0,2.805,0.00022009,149.83,152.64
1215.4500,0,2.805,2.1893,149.94,154.93
1215.5000,0,2.805,36.458,150.04,189.31
1215.5500,0,2.805,166.88,150.15,319.84
1215.6000,0,2.805,196.3,150.26,349.36
1215.6500,0,2.805,197.68,150.36,350.85
1215.7000,0,2.805,197.68,150.47,350.96
1215.7500,0,2.805,197.68,150.58,351.07
1215.8000,0,2.805,195.49,150.68,348.98
1215.8500,0,2.805,161.22,150.79,314.82
1215.9000,0,2.805,30.803,150.9,184.5
1215.9500,0,2.805,1.3804,151,155.19
1216.0000,0,2.805,7.2878e-05,151.11,153.92
1216.0500,0,2.805,3.8245e-09,151.22,154.02
1216.1000,0,2.805,3.8237e-09,151.32,154.13
1216.1500,0,2.805,3.8238e-09,151.43,154.23
1216.2000,0,2.805,3.824e-09,151.54,154.34
1216.2500,0,2.805,3.8241e-09,151.64,154.45
1216.3000,0,2.805,3.8243e-09,151.75,154.55
1216.3500,0,2.805,3.8244e-09,151.86,154.66
1216.4000,0,2.805,3.8245e-09,151.96,154.77
1216.4500,0,2.805,3.8247e-09,152.07,154.87
1216.5000,0,2.805,3.8248e-09,152.17,154.98
1216.5500,0,2.805,3.8249e-09,152.28,155.09
1216.6000,0,2.805,3.8251e-09,152.39,155.19
1216.6500,0,2.805,3.8252e-09,152.49,155.3
1216.7000,0,2.805,3.8253e-09,152.6,155.4
1216.7500,0,2.805,3.8254e-09,152.71,155.51
1216.8000,0,2.805,3.8255e-09,152.81,155.62
1216.8500,0,2.805,3.8256e-09,152.92,155.72
1216.9000,0,2.805,3.8257e-09,153.03,155.83
1216.9500,0,2.805,3.8258e-09,153.13,155.94
1217.0000,0,2.805,3.8259e-09,153.24,156.04
1217.0500,0,2.805,3.826e-09,153.34,156.15
1217.1000,0,2.805,3.8261e-09,153.45,156.25
1217.1500,0,2.805,3.8262e-09,153.56,156.36
1217.2000,0,2.805,3.8263e-09,153.66,156.47
1217.2500,0,2.805,3.8264e-09,153.77,156.57
1217.3000,0,2.805,3.8264e-09,153.87,156.68
1217.3500,0,2.805,3.8265e-09,153.98,156.79
1217.4000,0,2.805,3.8266e-09,154.09,156.89
1217.4500,0,2.805,3.8267e-09,154.19,157
1217.5000,0,2.805,3.8267e-09,154.3,157.1
1217.5500,0,2.805,3.8268e-09,154.4,157.21
1217.6000,0,2.805,3.8268e-09,154.51,157.32
1217.6500,0,2.805,3.8269e-09,154.62,157.42
1217.7000,0,2.805,3.8269e-09,154.72,157.53
1217.7500,0,2.805,3.827e-09,154.83,157.63
1217.8000,0,2.805,3.827e-09,154.93,157.74
1217.8500,0,2.805,3.8271e-09,155.04,157.85
1217.9000,0,2.805,3.8271e-09,155.15,157.95
1217.9500,0,2.805,3.8271e-09,155.25,158.06
1218.0000,0,2.805,3.8271e-09,155.36,158.16
1218.0500,0,2.805,3.8272e-09,155.46,158.27
1218.1000,0,2.805,3.8272e-09,155.57,158.37
1218.1500,0,2.805,3.8272e-09,155.67,158.48
1218.2000,0,2.805,3.8272e-09,155.78,158.59
1218.2500,0,2.805,3.8272e-09,155.89,158.69
1218.3000,0,2.805,3.8272e-09,155.99,158.8
1218.3500,0,2.805,3.8272e-09,156.1,158.9
1218.4000,0,2.805,3.8272e-09,156.2,159.01
1218.4500,0,2.805,3.8272e-09,156.31,159.11
1218.5000,0,2.805,3.8272e-09,156.41,159.22
1218.5500,0,2.805,3.8272e-09,156.52,159.33
1218.6000,0,2.805,3.8272e-09,156.63,159.43
1218.6500,0,2.805,3.8272e-09,156.73,159.54
1218.7000,0,2.805,3.8271e-09,156.84,159.64
1218.7500,0,2.805,3.8271e-09,156.94,159.75
1218.8000,0,2.805,3.8271e-09,157.05,159.85
1218.8500,0,2.805,3.827e-09,157.15,159.96
1218.9000,0,2.805,3.827e-09,157.26,160.06
1218.9500,0,2.805,3.827e-09,157.36,160.17
1219.0000,0,2.805,3.8269e-09,157.47,160.27
1219.0500,0,2.805,3.8269e-09,157.57,160.38
1219.1000,0,2.805,3.8268e-09,157.68,160.49
1219.1500,0,2.805,3.8268e-09,157.79,160.59
1219.2000,0,2.805,3.8267e-09,157.89,160.7
1219.2500,0,2.805,3.8266e-09,158,160.8
1219.3000,0,2.805,3.8266e-09,158.1,160.91
1219.3500,0,2.805,3.8265e-09,158.21,161.01
1219.4000,0,2.805,3.8264e-09,158.31,161.12
1219.4500,0,2.805,3.8263e-09,158.42,161.22
